Tool,year_pub,num_citations,citation_per_year,category,package_manager,required_expertise,type_of_URL
iSeqQC,2020,0,0,Data quality control,No package manager,Command-line tools,1
qsmooth2,2018,29,14.5,Data quality control,Package manager available,Command-line tools,1
FastQC,2018,75,37.5,Data quality control,Package manager available,Command-line tools,1
QC3,2014,64,10.66666667,Data quality control,Package manager available,Command-line tools,1
kPAL,2014,18,3,Data quality control,Package manager available,Command-line tools,1
HTQC,2013,108,15.42857143,Data quality control,No package manager,Command-line tools,1
Trimmomatic,2014,15413,2568.833333,Data quality control,Package manager available,Command-line tools,2
Skewer,2014,458,76.33333333,Data quality control,Package manager available,Command-line tools,1
Flaxbar,2012,385,48.125,Data quality control,Package manager available,Command-line tools,1
QuaCRS,2014,30,5,Data quality control,No package manager,Command-line tools,1
BlackOPs,2013,19,2.714285714,Data quality control,No package manager,Command-line tools,1
RSeQC,2012,843,105.375,Data quality control,Package manager available,Command-line tools,1
RNA-SeQC,2012,462,57.75,Data quality control,Package manager available,Command-line tools,2
Seqbias,2012,34,4.25,Data quality control,Package manager available,Command-line tools,1
SAMStat,2011,137,15.22222222,Data quality control,No package manager,Command-line tools,1
Samtools,2009,24339,2212.636364,Data quality control,Package manager available,Web-based tools,1
deSALT,2019,0,0,Read alignment,Package manager available,Command-line tools,1
Magic-BLAST,2018,13,6.5,Read alignment,No package manager,Command-line tools,1
Minimap2,2018,810,405,Read alignment,Package manager available,Command-line tools,1
DART,2018,8,4,Read alignment,Package manager available,Command-line tools,1
MMR,2016,33,8.25,Read alignment,No package manager,Command-line tools,1
ContextMap2,2015,35,7,Read alignment,No package manager,Command-line tools,2
HISAT,2015,3986,797.2,Read alignment,Package manager available,Command-line tools,2
Segemehl,2014,166,27.66666667,Read alignment,Package manager available,Command-line tools,2
JAGuaR,2014,31,5.166666667,Read alignment,No package manager,Command-line tools,2
CRAC,2013,72,10.28571429,Read alignment,Package manager available,Command-line tools,2
STAR,2013,10884,1554.857143,Read alignment,Package manager available,Command-line tools,1
Subread,2013,1215,173.5714286,Read alignment,Package manager available,Command-line tools,1
TopHat2,2013,8374,1196.285714,Read alignment,Package manager available,Command-line tools,2
OSA,2012,87,10.875,Read alignment,No package manager,Command-line tools,2
PASSion,2012,37,4.625,Read alignment,No package manager,Command-line tools,2
RUM,2011,335,37.22222222,Read alignment,No package manager,Command-line tools,2
SOAPSplice,2011,126,14,Read alignment,Package manager available,Command-line tools,2
MapSplice,2010,903,90.3,Read alignment,Package manager available,Command-line tools,1
SpliceMap,2010,365,36.5,Read alignment,Package manager available,Command-line tools,2
Supersplat,2010,61,6.1,Read alignment,No package manager,Command-line tools,2
HMMSplicer,2010,80,8,Read alignment,No package manager,Command-line tools,2
QPALMA,2008,179,14.91666667,Read alignment,No package manager,Command-line tools,2
SQANTI,2018,61,30.5,Gene annotations,Package manager available,Command-line tools,1
Annocript,2015,74,14.8,Gene annotations,No package manager,Command-line tools,1
CIRI,2015,373,74.6,Gene annotations,No package manager,Command-line tools,1
TSSAR,2014,49,8.166666667,Gene annotations,Package manager available,Command-line tools,2
FLAIR,2020,11,11,Transcriptome assembly,Package manager available,Command-line tools,1
Scallop,2017,42,14,Transcriptome assembly,Package manager available,Command-line tools,1
CLASS,2016,30,7.5,Transcriptome assembly,Package manager available,Command-line tools,1
StringTie,2015,1665,333,Transcriptome assembly,No package manager,Command-line tools,2
Bridger,2015,170,34,Transcriptome assembly,No package manager,Command-line tools,1
Bayesembler,2014,44,7.333333333,Transcriptome assembly,No package manager,Command-line tools,1
SEECER,2013,79,11.28571429,Transcriptome assembly,No package manager,Command-line tools,2
BRANCH,2013,29,4.142857143,Transcriptome assembly,No package manager,Command-line tools,1
EBARDenovo,2013,38,5.428571429,Transcriptome assembly,No package manager,Command-line tools,1
Oases,2012,1302,162.75,Transcriptome assembly,No package manager,Command-line tools,1
Cufflinks,2012,8219,1027.375,Transcriptome assembly,No package manager,Command-line tools,1
IsoInfer,2011,61,6.777777778,Transcriptome assembly,No package manager,Command-line tools,2
IsoLasso,2011,176,19.55555556,Transcriptome assembly,No package manager,Command-line tools,2
Trinity,2011,9481,1053.444444,Transcriptome assembly,Package manager available,Command-line tools,1
Trans-ABySS,2010,839,83.9,Transcriptome assembly,No package manager,Command-line tools,1
Scripture,2010,1229,122.9,Transcriptome assembly,No package manager,Command-line tools,2
TALON,2019,2,2,Transcriptome quantification,No package manager,Command-line tools,1
Salmon,2017,1407,469,Transcriptome quantification,Package manager available,Command-line tools,1
Kallisto,2016,2341,585.25,Transcriptome quantification,Package manager available,Command-line tools,1
Wub,2016,0,0,Transcriptome quantification,Package manager available,Command-line tools,1
Rcount,2015,21,4.2,Transcriptome quantification,No package manager,Web-based tools,1
Ht-seq,2015,8461,1692.2,Transcriptome quantification,Package manager available,Command-line tools,2
EMSAR,2015,14,2.8,Transcriptome quantification,No package manager,Command-line tools,1
Maxcounts,2014,38,6.333333333,Transcriptome quantification,No package manager,Command-line tools,2
FIXSEQ,2014,15,2.5,Transcriptome quantification,No package manager,Command-line tools,1
Sailfish,2014,491,81.83333333,Transcriptome quantification,Package manager available,Command-line tools,1
Casper,2014,26,4.333333333,Transcriptome quantification,Package manager available,Command-line tools,1
MaLTA,2014,14,2.333333333,Transcriptome quantification,No package manager,Command-line tools,2
Featurecounts,2014,4341,723.5,Transcriptome quantification,No package manager,Command-line tools,1
MITIE,2013,56,8,Transcriptome quantification,No package manager,Command-line tools,1
iReckon,2013,119,17,Transcriptome quantification,No package manager,Command-line tools,2
eXpress,2013,660,94.28571429,Transcriptome quantification,Package manager available,Command-line tools,1
BitSeq,2012,196,24.5,Transcriptome quantification,Package manager available,Command-line tools,1
IQSeq,2012,8,1,Transcriptome quantification,No package manager,Command-line tools,2
CEM,2012,77,9.625,Transcriptome quantification,No package manager,Command-line tools,2
SAMMate,2011,63,7,Transcriptome quantification,No package manager,Command-line tools,1
Isoformex,2011,29,3.222222222,Transcriptome quantification,No package manager,none,2
IsoEM,2011,183,20.33333333,Transcriptome quantification,No package manager,Command-line tools,2
RSEM,2011,7152,794.6666667,Transcriptome quantification,Package manager available,Command-line tools,1
EDASeq,2011,645,71.66666667,Transcriptome quantification,Package manager available,Command-line tools,1
MMSEQ,2011,220,24.44444444,Transcriptome quantification,Package manager available,Command-line tools,1
