Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforget,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,Tools Benchmarked Against,License,Number of citations,Citations per year
GOseq,https://doi.org/10.1186/gb-2010-11-2-r14,Allele specific expression,2010,Y,Y,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,31,1,0,0,0,0,1.9375,0.0625,"1,2,3",Y,Y,Y,http://bioinf.wehi.edu.au/software/goseq/,N,https://github.com/federicomarini/goseq,,,https://biocontainers.pro/tools/bioconductor-goseq,,https://www.bioconductor.org/packages/release/bioc/html/goseq.html,,,N,,LGPL (>= 2),6597,439.8
AlleleSeq,https://doi.org/10.1038/msb.2011.54,Allele specific expression,2011,N,N,Y,N,N,N,N,N,N,N,N,4,0,0,0,0,0,0.2857142857,0,0,0,0,0,"1,3",Y,N,Y,http://alleleseq.gersteinlab.org/,N,,,,,,,,http://alleleseq.gersteinlab.org/tools.html,N,,,404,28.85714286
Allim,https://doi.org/10.1111/1755-0998.12110,Allele specific expression,2013,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,3,0,0,0,0,0,0.2307692308,"1,3",Y,N,Y,http://code.google.com/p/allim/,N,"https://code.google.com/archive/p/allim/
  https://sourceforge.net/projects/allim/",,,,,,,,N,,Mozilla Public License 1.1,56,4.666666667
MBASED,https://doi.org/10.1186/s13059-014-0405-3,Allele specific expression,2014,N,N,Y,N,N,Y,N,N,N,Y,Y,0,0,0,0,21,0,0,0,0,0,1.75,0,"1,2,3",Y,Y,Y,,Y,,,,https://biocontainers.pro/tools/bioconductor-mbased,,https://bioconductor.org/packages/release/bioc/html/MBASED.html,,,Y,"Skelly DA, Johansson M, Madeoy J, Wakefield J, Akey JM: A powerful and flexible statistical framework for testing hypotheses of allele-specific gene expression from RNA-seq data. Genome Res 2011, 21:1728–1737",Artistic-2.0,164,14.90909091
allelecounter,https://doi.org/10.1186/s13059-015-0762-6,Allele specific expression,2015,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,,N,,,,,,,,,N,,,,
Polysolver,https://www.nature.com/articles/nbt.3344,Allele specific expression,2015,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,http://www.broadinstitute.org/cancer/cga/polysolver,Y,Forks found in : https://github.com/jason-weirather/hla-polysolver AND https://github.com/researchapps/polysolver AND https://github.com/tanyaphung/run_hla_polysolver,,,https://hub.docker.com/r/eddiebroad/polysolver and https://hub.docker.com/r/sachet/polysolver/tags/,,,,,Y,"OptiType, Seq2HLA, PHLAT, HLAMiner, and HLAforest",BDS License,762,76.2
MAMBA,https://doi.org/10.1093/bioinformatics/btv074,Allele specific expression,2015,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.1,0,0,0,0,0,"1,3",Y,N,Y,http://www.well.ox.ac.uk/~rivas/mamba/,Y,,,,,,,,"https://web.archive.org/web/20161126130052/http://birch.well.ox.ac.uk/%7Erivas/mamba//, 
  https://www.mv.helsinki.fi/home/mjxpirin/download.html",N,,n,95,9.5
WASP,https://doi.org/10.1038/nmeth.3582,Allele specific expression,2015,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,9,0,0,0,0,0,0.8181818182,"1,3",Y,N,Y,https://github.com/bmvdgeijn/WASP/,N,https://github.com/bmvdgeijn/WASP/,,,,,,,,N,,Apache-2.0,595,59.5
phASER,https://doi.org/10.1038/ncomms12817,Allele specific expression,2016,N,N,Y,N,Y,N,N,N,N,Y,N,0,1,0,0,0,1,0,0.1,0,0,0,0.1,"1,2,3",Y,Y,Y,https://github.com/secastel/phaser,N,https://github.com/secastel/phaser,https://anaconda.org/bioconda/phASER,,,,,,,Y,"HapCUT, GATK Read Backed Phasing tool",GPL3,139,15.44444444
RASQUAL,"https://doi.org/10.1038/ng.3467
  https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5098600/",Allele specific expression,2016,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.1,"1,3",Y,N,Y,https://github.com/natsuhiko/rasqual,N,https://github.com/natsuhiko/rasqual,,,https://hub.docker.com/r/ndatth/rasqual,,,,,Y,"TReCASE, CHT",,,
